Indicador,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Unidades por kilo mmpp terceros*,67,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2021,Sudmaris
Unidades por kilo mmpp propia*,65,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes, ,1,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,1385808,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,935469,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2021,Sudmaris
Unidades por kilo mmpp propia*,61,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,2563012,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,2132653.1230000006,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2021,Sudmaris
Unidades por kilo mmpp terceros*,65.6276150627615,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2021,Sudmaris
Unidades por kilo mmpp propia*,61,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes, ,2,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,3153050,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,2298721,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2021,Sudmaris
Unidades por kilo mmpp propia*,66,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,1618932,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,1426054,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2021,Sudmaris
Unidades por kilo mmpp terceros*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2021,Sudmaris
Unidades por kilo mmpp propia*,66,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes, ,3,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,3294250.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,4,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,2634603.7266499987,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2021,Sudmaris
Unidades por kilo mmpp propia*,87,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,1089698.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,968983.834,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2021,Sudmaris
Unidades por kilo mmpp terceros*,49.129629629629626,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2021,Sudmaris
