Producto,Calibre,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Rendimiento Olla mmpp Terceros,,0.228,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,4,2021,Chonchi
Carne,50-100 UNI/KG,540,Kilos,Kg netos del producto empacados en el mes*,9,2021,Quemchi
Carne,100-200 UNI/KG,9320,Kilos,Kg netos del producto empacados en el mes*,9,2021,Quemchi
Carne,200-300 UNI/KG,21214.2,Kilos,Kg netos del producto empacados en el mes*,9,2021,Quemchi
Carne,300-500 UNI/KG,118500,Kilos,Kg netos del producto empacados en el mes*,9,2021,Quemchi
Carne,500-1000 UNI/KG,22640,Kilos,Kg netos del producto empacados en el mes*,9,2021,Quemchi
Carne,INDUSTRIAL,6240,Kilos,Kg netos del producto empacados en el mes*,9,2021,Quemchi
Media Concha,40-60 UNI/KG,2098,Kilos,Kg netos del producto empacados en el mes*,9,2021,Quemchi
Media Concha,60-80 UNI/KG,1373,Kilos,Kg netos del producto empacados en el mes*,9,2021,Quemchi
Media Concha,80-100 UNI/KG,11925,Kilos,Kg netos del producto empacados en el mes*,9,2021,Quemchi
Media Concha,100 UP UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,9,2021,Quemchi
Entero,NATURAL,211099,Kilos,Kg netos del producto empacados en el mes*,9,2021,Quemchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,9,2021,Quemchi
Entero,NATURAL,,Kilos,Kg netos del producto empacados en el mes*,9,2021,Quemchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,9,2021,Quemchi
Rendimiento Olla mmpp Propia,,0.202,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,9,2021,Quemchi
Rendimiento Olla mmpp Terceros,,0.184,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,9,2021,Quemchi
Carne,50-100 UNI/KG,5570,Kilos,Kg netos del producto empacados en el mes*,6,2021,Quemchi
Carne,100-200 UNI/KG,199480,Kilos,Kg netos del producto empacados en el mes*,6,2021,Quemchi
Carne,200-300 UNI/KG,352960.80000000005,Kilos,Kg netos del producto empacados en el mes*,6,2021,Quemchi
Carne,300-500 UNI/KG,169692,Kilos,Kg netos del producto empacados en el mes*,6,2021,Quemchi
Carne,500-1000 UNI/KG,26430,Kilos,Kg netos del producto empacados en el mes*,6,2021,Quemchi
Carne,INDUSTRIAL,35860,Kilos,Kg netos del producto empacados en el mes*,6,2021,Quemchi
Media Concha,40-60 UNI/KG,13644,Kilos,Kg netos del producto empacados en el mes*,6,2021,Quemchi
Media Concha,60-80 UNI/KG,24471,Kilos,Kg netos del producto empacados en el mes*,6,2021,Quemchi
Media Concha,80-100 UNI/KG,3188,Kilos,Kg netos del producto empacados en el mes*,6,2021,Quemchi
Media Concha,100 UP UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,6,2021,Quemchi
Entero,NATURAL,263968,Kilos,Kg netos del producto empacados en el mes*,6,2021,Quemchi
Entero,CON SALSA,21793,Kilos,Kg netos del producto empacados en el mes*,6,2021,Quemchi
Entero,NATURAL,,Kilos,Kg netos del producto empacados en el mes*,6,2021,Quemchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,6,2021,Quemchi
