Indicador,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Unidades por kilo mmpp terceros*,54.94,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,11,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,0.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,12,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,0.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,12,2020,Sudmaris
Unidades por kilo mmpp propia*,0.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,12,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,3372285.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,12,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,2533781.0,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,12,2020,Sudmaris
Unidades por kilo mmpp terceros*,70.4,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,12,2020,Sudmaris
Ingreso Materia Prima Neta Propia,1336630.0,,,1,2020,Blue Shell
Unidades por kilo mmpp propia*,73.4,,,1,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2785024.0,,,1,2020,Blue Shell
Unidades por kilo mmpp terceros*,71.04,,,1,2020,Blue Shell
rechazo propio,0.12935605320410104,,,1,2020,Blue Shell
rechazo terceros,0.11075577125706437,,,1,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1535220.0,,,1,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,3131900.0,,,1,2020,Blue Shell
rechazo terceros,0.1107557712570644,,,1,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1535220.0,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,,1,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1336630.0,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,,1,2020,Blue Shell
Unidades por kilo mmpp propia*,73.4,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,,1,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,3131900.0,Total Kilos mmpp de centros de terceros ingresados a planta al mes,,1,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2785024.0,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,,1,2020,Blue Shell
Unidades por kilo mmpp terceros*,71.04,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,,1,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1535220.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1336630.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,1,2020,Blue Shell
Unidades por kilo mmpp propia*,73.4,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,3131900.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2785024.0,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,1,2020,Blue Shell
Unidades por kilo mmpp terceros*,71.04,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1571085.0,,,2,2020,Blue Shell
Unidades por kilo mmpp propia*,70.5,,,2,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2551733.0,,,2,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.22,,,2,2020,Blue Shell
rechazo propio,0.1157982710879989,,,2,2020,Blue Shell
rechazo terceros,0.10124011551259149,,,2,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1776840.0,,,2,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2839171.0,,,2,2020,Blue Shell
rechazo propio,0.11579827108799892,,,2,2020,Blue Shell
rechazo terceros,0.10124011551259153,,,2,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1776840.0,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,,2,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1571085.0,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,,2,2020,Blue Shell
Unidades por kilo mmpp propia*,70.5,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,,2,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2839171.0,Total Kilos mmpp de centros de terceros ingresados a planta al mes,,2,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2551733.0,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,,2,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.22,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,,2,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1776840.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1571085.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,2,2020,Blue Shell
Unidades por kilo mmpp propia*,70.5,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2839171.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2551733.0,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,2,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.22,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1035531.0,,,3,2020,Blue Shell
Unidades por kilo mmpp propia*,70.22,,,3,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2662740.0,,,3,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.43,,,3,2020,Blue Shell
rechazo propio,0.1134987287156175,,,3,2020,Blue Shell
rechazo terceros,0.10733628011525642,,,3,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1168110.0,,,3,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2982915.0,,,3,2020,Blue Shell
rechazo propio,0.11349872871561753,,,3,2020,Blue Shell
rechazo terceros,0.10733628011525638,,,3,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1168110.0,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,,3,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1035531.0,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,,3,2020,Blue Shell
Unidades por kilo mmpp propia*,70.22,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,,3,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2982915.0,Total Kilos mmpp de centros de terceros ingresados a planta al mes,,3,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2662740.0,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,,3,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.43,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,,3,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1168110.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1035531.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,3,2020,Blue Shell
Unidades por kilo mmpp propia*,70.22,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2982915.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2662740.0,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,3,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.43,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2020,Blue Shell
Ingreso Materia Prima Neta Propia,623326.0,,,4,2020,Blue Shell
Unidades por kilo mmpp propia*,74.46,,,4,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,1334607.0,,,4,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.39,,,4,2020,Blue Shell
rechazo propio,0.12894633873672445,,,4,2020,Blue Shell
rechazo terceros,0.1067306083382974,,,4,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,715600.0,,,4,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,1494070.0,,,4,2020,Blue Shell
rechazo propio,0.12894633873672443,,,4,2020,Blue Shell
rechazo terceros,0.10673060833829741,,,4,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,715600.0,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,,4,2020,Blue Shell
Ingreso Materia Prima Neta Propia,623326.0,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,,4,2020,Blue Shell
Unidades por kilo mmpp propia*,74.46,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,,4,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,1494070.0,Total Kilos mmpp de centros de terceros ingresados a planta al mes,,4,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,1334607.0,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,,4,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.39,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,,4,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,715600.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,4,2020,Blue Shell
Ingreso Materia Prima Neta Propia,623326.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,4,2020,Blue Shell
Unidades por kilo mmpp propia*,74.46,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,1494070.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,1334607.0,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,4,2020,Blue Shell
Unidades por kilo mmpp terceros*,72.39,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2020,Blue Shell
Ingreso Materia Prima Neta Propia,,,,5,2020,Blue Shell
Unidades por kilo mmpp propia*,,,,5,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,,,,5,2020,Blue Shell
Unidades por kilo mmpp terceros*,,,,5,2020,Blue Shell
