Producto,Calibre,Valor,Unidad de medida,Definición,Mes,Ano,Empresa
Media Concha,40-60 UNI/KG,13338,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Media Concha,60-80 UNI/KG,16542,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Media Concha,80-100 UNI/KG,1298,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Media Concha,100 UP UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Entero,NATURAL,320126,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Entero,CON SALSA,22380,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Rendimiento Olla mmpp Propia,0,0.271,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,2,2021,St Andrews
Rendimiento Olla mmpp Terceros,0,0.304,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,2,2021,St Andrews
Carne,50-100 UNI/KG,2520,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Carne,100-200 UNI/KG,378010,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Carne,200-300 UNI/KG,440133.6,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Carne,300-500 UNI/KG,34706,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Carne,500-1000 UNI/KG,5940,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Carne,INDUSTRIAL,34060,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Media Concha,40-60 UNI/KG,19512,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Media Concha,60-80 UNI/KG,28125,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Media Concha,80-100 UNI/KG,1060,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Media Concha,100 UP UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Entero,NATURAL,412263,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,3,2021,St Andrews
Rendimiento Olla mmpp Propia,0,0.283,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,3,2021,St Andrews
Rendimiento Olla mmpp Terceros,0,0.275,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,3,2021,St Andrews
Carne,50-100 UNI/KG,4470,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Carne,100-200 UNI/KG,152360,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Carne,200-300 UNI/KG,469498.2,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Carne,300-500 UNI/KG,125236,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Carne,500-1000 UNI/KG,5900,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Carne,INDUSTRIAL,36770,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Media Concha,40-60 UNI/KG,23436,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Media Concha,60-80 UNI/KG,28604,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Media Concha,80-100 UNI/KG,6141,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Media Concha,100 UP UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Entero,NATURAL,374656,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,4,2021,St Andrews
Rendimiento Olla mmpp Propia,0,0.27,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,4,2021,St Andrews
Rendimiento Olla mmpp Terceros,0,0.262,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,4,2021,St Andrews
Carne,50-100 UNI/KG,4740,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Carne,100-200 UNI/KG,92576,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Carne,200-300 UNI/KG,453333.4,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Carne,300-500 UNI/KG,206038,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Carne,500-1000 UNI/KG,16500,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Carne,INDUSTRIAL,31330,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Media Concha,40-60 UNI/KG,11034,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Media Concha,60-80 UNI/KG,28733,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Media Concha,80-100 UNI/KG,4725,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Media Concha,100 UP UNI/KG,1998,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,5,2021,St Andrews
Rendimiento Olla mmpp Propia,0,0.259,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,5,2021,St Andrews
Rendimiento Olla mmpp Terceros,0,0.239,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,5,2021,St Andrews
Carne,50-100 UNI/KG,5570,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Carne,100-200 UNI/KG,199480,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Carne,200-300 UNI/KG,352960.8,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Carne,300-500 UNI/KG,169692,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Carne,500-1000 UNI/KG,26430,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Carne,INDUSTRIAL,35860,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Media Concha,40-60 UNI/KG,13644,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Media Concha,60-80 UNI/KG,24471,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Media Concha,80-100 UNI/KG,3188,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Media Concha,100 UP UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Entero,NATURAL,263968,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Entero,CON SALSA,21793,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,6,2021,St Andrews
Rendimiento Olla mmpp Propia,0,0.247,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,6,2021,St Andrews
Rendimiento Olla mmpp Terceros,0,0.228,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,6,2021,St Andrews
Carne,50-100 UNI/KG,3880,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Carne,100-200 UNI/KG,152310,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Carne,200-300 UNI/KG,222267.2,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Carne,300-500 UNI/KG,260088,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Carne,500-1000 UNI/KG,23060,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Carne,INDUSTRIAL,34760,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Media Concha,40-60 UNI/KG,2655,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Media Concha,60-80 UNI/KG,17713,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Media Concha,80-100 UNI/KG,4043,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Media Concha,100 UP UNI/KG,36,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Entero,NATURAL,359275,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Entero,CON SALSA,1825,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,7,2021,St Andrews
Rendimiento Olla mmpp Propia,0,0.229,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,7,2021,St Andrews
Rendimiento Olla mmpp Terceros,0,0.215,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,7,2021,St Andrews
Carne,50-100 UNI/KG,1010,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Carne,100-200 UNI/KG,24830,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Carne,200-300 UNI/KG,44749.2,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Carne,300-500 UNI/KG,181160,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Carne,500-1000 UNI/KG,24700,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Carne,INDUSTRIAL,12980,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Media Concha,40-60 UNI/KG,5499,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
Media Concha,60-80 UNI/KG,32432,Kilos,Kg netos del producto empacados en el mes*,8,2021,St Andrews
