FECHA,PRODUCTO,EMPAQUE,CALIBRE,CANTIDAD,PRECIO CFR,TIPO VENTA,PAIS,EMPRESA,SEMANA,MES,AÑO,MERCADO,Mercados 2,Mercados Carne,Mercados Entero,PRODUCTO EQUIVALENTE,PRODUCTO_EMPAQUE,ALFA,BETA,PRECIO EQUIV.,P*Q,ANTIGIO
2021-05-20 00:00:00,CARNE,GRANEL,C100-200,45186.170305889114,1.494058633720152,Spot,España,Data Mussel,20,5,2021,Europa,España,España,Otros europa,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.494058633720152,67510.7878702628,1.494058633720152
2021-05-20 00:00:00,CARNE,GRANEL,C200-300,45186.170305889114,1.3976677541253033,Spot,Rusia,Data Mussel,20,5,2021,Uee,Rusia,Uee,Rusia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.3976677541253033,63155.25316895551,1.3976677541253033
2021-05-24 00:00:00,CARNE,GRANEL,C300-500,45186.170305889114,1.4217654740240155,Spot,Lituania,Data Mussel,21,5,2021,Uee,Otros uee,Uee,Otros uee,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.4217654740240155,64244.13684428233,1.4217654740240155
2021-05-26 00:00:00,ENTERO,SIN SALSA,C40-60,38210.555264917486,0.9639087959484851,Spot,Rusia,Data Mussel,21,5,2021,Uee,Rusia,Uee,Rusia,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,0.9639087959484851,36831.49031792966,0.9639087959484851
2021-05-27 00:00:00,CARNE,GRANEL,C200-300,18789.915818865557,1.301276874530455,Spot,Francia,Data Mussel,21,5,2021,Europa,Francia,Francia,Francia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.301276874530455,24450.88292946373,1.301276874530455
2021-05-27 00:00:00,CARNE,GRANEL,C300-500,20465.569634375614,1.301276874530455,Spot,Francia,Data Mussel,21,5,2021,Europa,Francia,Francia,Francia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.301276874530455,26631.372489305686,1.301276874530455
2021-05-27 00:00:00,CARNE,RETAIL,C100-200,5930.684852647947,1.8314267123021217,Spot,Francia,Data Mussel,21,5,2021,Europa,Francia,Francia,Francia,CARNE RETAIL,CARNERETAIL,0.0,0.0,1.8314267123021217,10861.614661385023,1.8314267123021217
2021-05-28 00:00:00,ENTERO,SIN SALSA,C40-60,38408.24476000575,0.9880065158471971,Spot,Rusia,Data Mussel,21,5,2021,Uee,Rusia,Uee,Rusia,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,0.9880065158471971,37947.596085139645,0.9880065158471971
2021-05-28 00:00:00,CARNE,GRANEL,C200-300,45186.170305889114,1.4458631939227278,Spot,España,Data Mussel,21,5,2021,Europa,España,España,Otros europa,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.4458631939227278,65333.020519609156,1.4458631939227278
2021-05-31 00:00:00,CARNE,GRANEL,C300-500,45186.170305889114,1.4217654740240155,Spot,Lituania,Data Mussel,22,5,2021,Uee,Otros uee,Uee,Otros uee,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.4217654740240155,64244.13684428233,1.4217654740240155
2021-05-31 00:00:00,CARNE,GRANEL,C100-200,45186.170305889114,1.494058633720152,Spot,Ucrania,Data Mussel,22,5,2021,Uee,Otros uee,Uee,Otros uee,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.494058633720152,67510.7878702628,1.494058633720152
2021-05-31 00:00:00,ENTERO,SIN SALSA,C20-40,36926.5149253918,1.0120939149970616,Spot,Rusia,Data Mussel,22,5,2021,Uee,Rusia,Uee,Rusia,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,1.0120939149970616,37373.10105803722,1.0120939149970616
2021-06-02 00:00:00,CARNE,GRANEL,C100-200,45186.170305889114,1.494058633720152,Spot,España,Data Mussel,22,6,2021,Europa,España,España,Otros europa,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.494058633720152,67510.7878702628,1.494058633720152
